asn,filtering,confidence,source,category
9924,unknown,1.0,ROVISTA,
9676,unknown,0.9235,APNIC,
9676,unknown,1.0,ROVISTA,
38844,unknown,0.8301999999999999,APNIC,
38844,unknown,0.48387095,ROVISTA,
131627,unknown,0.7709999999999999,APNIC,
131627,unknown,9.9,Friends,5
131597,unknown,0.5556,APNIC,
131597,unknown,0.2580645,ROVISTA,
131584,unknown,0.2702,APNIC,
131642,unknown,0.1909,APNIC,
24154,unknown,0.09480000000000001,APNIC,
9919,unknown,0.0882,APNIC,
9919,unknown,0.9677419,ROVISTA,
134823,unknown,0.044800000000000006,APNIC,
1659,unknown,0.026699999999999998,APNIC,
1659,unknown,1.0,Friends,6
396982,unknown,0.019,APNIC,
396982,unknown,1.0,Friends,3
38042,unknown,0.0143,APNIC,
36183,unknown,0.0123,APNIC,
18049,unknown,0.009300000000000001,APNIC,
18049,unknown,9.9,Friends,5
18049,unknown,1.0,ROVISTA,
199707,unknown,0.0088,APNIC,
38136,unknown,0.0085,APNIC,
198100,unknown,0.0074,APNIC,
4780,unknown,0.006,APNIC,
4780,unknown,1.0,Friends,7
4780,unknown,1.0,ROVISTA,
18046,unknown,0.0059,APNIC,
138915,unknown,0.0059,APNIC,
138915,unknown,1.0,ROVISTA,
18464,unknown,0.0058,APNIC,
24157,unknown,0.0019,APNIC,
7482,unknown,0.0017000000000000001,APNIC,
17809,unknown,0.0015,APNIC,
131596,unknown,0.0015,APNIC,
131591,unknown,0.0012,APNIC,
18419,unknown,0.0005,APNIC,
18419,unknown,9.9,Friends,5
18419,unknown,0.12903225,ROVISTA,
9674,unknown,0.0005,APNIC,
9674,unknown,1.0,ROVISTA,
9416,unknown,0.0004,APNIC,
1835,unknown,1.0,APNIC,
1835,unknown,1.0,ROVISTA,
34705,unknown,1.0,APNIC,
34705,unknown,9.9,Friends,5
34705,unknown,1.0,ROVISTA,
33796,unknown,1.0,APNIC,
33796,unknown,9.9,Friends,5
33796,unknown,1.0,ROVISTA,
8273,unknown,1.0,APNIC,
8273,unknown,1.0,ROVISTA,
60111,unknown,1.0,APNIC,
60111,unknown,9.9,Friends,5
60111,unknown,1.0,ROVISTA,
204151,unknown,1.0,APNIC,
204151,unknown,1.0,Friends,7
204151,unknown,1.0,ROVISTA,
48288,unknown,1.0,APNIC,
209424,unknown,0.9987999999999999,APNIC,
209424,unknown,1.0,ROVISTA,
3292,unknown,0.9987999999999999,APNIC,
3292,unknown,1.0,Friends,7
3292,unknown,1.0,ROVISTA,
3308,unknown,0.9984000000000001,APNIC,
3308,unknown,9.9,Friends,5
3308,unknown,1.0,ROVISTA,
203953,unknown,0.9984000000000001,APNIC,
203953,unknown,9.9,Friends,5
203953,unknown,1.0,ROVISTA,
43557,unknown,0.9982,APNIC,
43557,unknown,1.0,Friends,6
43557,unknown,1.0,ROVISTA,
24800,unknown,0.9982,APNIC,
24800,unknown,1.0,ROVISTA,
42541,unknown,0.998,APNIC,
42541,unknown,1.0,ROVISTA,
39642,unknown,0.9976999999999999,APNIC,
39642,unknown,1.0,Friends,7
39642,unknown,1.0,ROVISTA,
197301,unknown,0.9974,APNIC,
16245,unknown,0.9934999999999999,APNIC,
16245,unknown,0.9354838999999999,ROVISTA,
204793,unknown,0.6923,APNIC,
35158,unknown,0.6023,APNIC,
141995,unknown,0.0508,APNIC,
202914,unknown,0.0192,APNIC,
30736,unknown,0.0084,APNIC,
42525,unknown,0.004699999999999999,APNIC,
31027,unknown,0.0014000000000000002,APNIC,
44869,unknown,0.0005,APNIC,
9158,unknown,0.0002,APNIC,
9158,unknown,9.9,Friends,4
206238,unknown,1.0,APNIC,
206238,unknown,1.0,Friends,7
206238,unknown,1.0,ROVISTA,
59521,unknown,1.0,APNIC,
59521,unknown,9.9,Friends,5
29396,unknown,1.0,APNIC,
29396,unknown,1.0,Friends,6
29396,unknown,1.0,ROVISTA,
58073,unknown,1.0,APNIC,
58073,unknown,1.0,ROVISTA,
8220,unknown,1.0,APNIC,
8220,unknown,1.0,Friends,7
8220,unknown,1.0,ROVISTA,
41960,unknown,1.0,APNIC,
41960,unknown,1.0,ROVISTA,
12859,unknown,1.0,APNIC,
12859,unknown,9.9,Friends,4
25596,unknown,1.0,APNIC,
25596,unknown,1.0,Friends,2
25596,unknown,1.0,ROVISTA,
28685,unknown,1.0,APNIC,
28685,unknown,1.0,ROVISTA,
21221,unknown,1.0,APNIC,
21221,unknown,1.0,ROVISTA,
51167,unknown,1.0,APNIC,
51167,unknown,9.9,Friends,5
51167,unknown,1.0,ROVISTA,
12414,unknown,0.9993000000000001,APNIC,
12414,unknown,9.9,Friends,5
12414,unknown,1.0,ROVISTA,
33915,unknown,0.9993000000000001,APNIC,
33915,unknown,1.0,Friends,7
33915,unknown,1.0,ROVISTA,
1136,unknown,0.9989,APNIC,
1136,unknown,1.0,Friends,7
1136,unknown,1.0,ROVISTA,
207375,unknown,0.9987,APNIC,
207375,unknown,9.9,Friends,5
1103,unknown,0.998,APNIC,
1103,unknown,9.9,Friends,4
1103,unknown,1.0,ROVISTA,
15480,unknown,0.998,APNIC,
15480,unknown,1.0,ROVISTA,
39686,unknown,0.997,APNIC,
39686,unknown,9.9,Friends,5
39686,unknown,0.7741935,ROVISTA,
13127,unknown,0.9967,APNIC,
13127,unknown,9.9,Friends,4
13127,unknown,1.0,ROVISTA,
54825,unknown,0.9945,APNIC,
54825,unknown,0.8064516,ROVISTA,
41564,unknown,0.9934000000000001,APNIC,
41564,unknown,1.0,ROVISTA,
57795,unknown,0.991,APNIC,
57795,unknown,1.0,ROVISTA,
56655,unknown,0.9899,APNIC,
56655,unknown,1.0,Friends,6
56655,unknown,1.0,ROVISTA,
3257,unknown,0.9892,APNIC,
3257,unknown,1.0,Friends,7
3257,unknown,1.0,ROVISTA,
136258,unknown,0.9884000000000001,APNIC,
207713,unknown,0.9834999999999999,APNIC,
12876,unknown,0.9799,APNIC,
12876,unknown,1.0,ROVISTA,
25369,unknown,0.9769,APNIC,
25369,unknown,9.9,Friends,4
25369,unknown,1.0,ROVISTA,
63023,unknown,0.966,APNIC,
63023,unknown,1.0,ROVISTA,
200023,unknown,0.9528,APNIC,
200023,unknown,1.0,ROVISTA,
1101,unknown,0.5904,APNIC,
1101,unknown,0.8064516,ROVISTA,
62068,unknown,0.4586,APNIC,
62068,unknown,1.0,ROVISTA,
48011,unknown,0.18710000000000002,APNIC,
21100,unknown,0.1361,APNIC,
21100,unknown,0.29032257,ROVISTA,
25222,unknown,0.0915,APNIC,
25222,unknown,0.87096775,ROVISTA,
43641,unknown,0.0789,APNIC,
47172,unknown,0.0493,APNIC,
14593,unknown,0.048600000000000004,APNIC,
14593,unknown,1.0,Friends,2
14061,unknown,0.0417,APNIC,
14061,unknown,1.0,Friends,2
5524,unknown,0.0395,APNIC,
57043,unknown,0.0382,APNIC,
54994,unknown,0.037000000000000005,APNIC,
54994,unknown,0.09677419000000001,ROVISTA,
28878,unknown,0.0333,APNIC,
28878,unknown,9.9,Friends,4
21859,unknown,0.032799999999999996,APNIC,
21859,unknown,0.3548387,ROVISTA,
62005,unknown,0.0317,APNIC,
13213,unknown,0.031400000000000004,APNIC,
13213,unknown,1.0,ROVISTA,
40676,unknown,0.0305,APNIC,
40676,unknown,1.0,Friends,7
40676,unknown,0.9032258,ROVISTA,
198203,unknown,0.0268,APNIC,
58061,unknown,0.0262,APNIC,
58061,unknown,9.9,Friends,4
174,unknown,0.0258,APNIC,
174,unknown,1.0,Friends,3
174,unknown,1.0,ROVISTA,
26383,unknown,0.0253,APNIC,
62240,unknown,0.023,APNIC,
62240,unknown,1.0,ROVISTA,
202425,unknown,0.0227,APNIC,
202425,unknown,1.0,ROVISTA,
31404,unknown,0.0183,APNIC,
31404,unknown,0.9677419,ROVISTA,
202422,unknown,0.0178,APNIC,
60404,unknown,0.017,APNIC,
60404,unknown,1.0,ROVISTA,
43350,unknown,0.0168,APNIC,
43350,unknown,1.0,Friends,7
41745,unknown,0.016399999999999998,APNIC,
16276,unknown,0.015,APNIC,
216071,unknown,0.0144,APNIC,
59711,unknown,0.0141,APNIC,
59711,unknown,1.0,ROVISTA,
